product_id,product_name,product_url,price,stock_total,stock_per_size,sizes_available,category,brand,country_of_origin,shoe_model,material,shipped_from,rating,review_count,sold_count,description,image_urls,image_local_paths
253449367_15890734383,Yuri Penny Black - Nappa Milano - Sandal Unisex,https://shopee.co.id/Yuri-Penny-Black-Nappa-Milano-Sandal-Unisex-i.253449367.15890734383,629000.0,0,"{""36"": 30, ""37"": 35, ""38"": 32, ""39"": 33, ""40"": 31, ""41"": 0, ""42"": 0, ""43"": 0, ""44"": 0, ""45"": 0}","36, 37, 38, 39, 40",Sepatu Pria > Sandal > Sandal Slide,NAPPA MILANO,Indonesia,,kulit,KAB. TANGERANG,4.9,225,652,"Classic penny accent to top off the infamous slip-on pair. Designed for effortless use while still providing the put-togetherness. Finely crafted with real leather along with EVA Rubber outsole ensuring utmost comfort for your daily look. Available in two color ways—Black and Maroon.
Upper Material: Box Leather
Outsole: EVA Rubber",https://down-id.img.susercontent.com/file/sg-11134201-7rbnb-lqkaxbaspd1h48,data/images/253449367_15890734383/img_0.jpg
253449367_53961642473,Gail Dainty Black,https://shopee.co.id/Gail-Dainty-Black-i.253449367.53961642473,689000.0,0,"{""36"": 2, ""37"": 10, ""38"": 14, ""39"": 12, ""40"": 9}","36, 37, 38, 39, 40",Sepatu Wanita > Sepatu Flat > Rounded Toe Flats,NAPPA MILANO,,,"Kulit, Lainnya",KAB. TANGERANG,,,1,"Gail Dainty introduces a softer side of Gail — combining feminine details with the comfort and ease of an everyday sneaker. Designed with a lightweight feel, soft elastic finishing, and delicate lace accents, the silhouette brings a playful yet effortless touch to daily wear. Easy to style and comfortable to move in, Gail Dainty is made for girls who love the comfort sneakers bring, but with a softer, more feminine touch.
Materials:
- Upper: Suede Leather & Nylon
- Lining: Textile
- Outsole: Lightweight Rubber
- Construction: Cementing",https://down-id.img.susercontent.com/file/sg-11134201-823p4-mp1v3afjs6q34d,data/images/253449367_53961642473/img_0.jpg
253449367_57402386866,Gale Soccer Black - Nappa Milano - Sepatu Sneakers Pria,https://shopee.co.id/Gale-Soccer-Black-Nappa-Milano-Sepatu-Sneakers-Pria-i.253449367.57402386866,740050.0,0,"{""40"": 0, ""41"": 0, ""42"": 0, ""43"": 0, ""44"": 2, ""45"": 0}",44,Sepatu Pria > Sneakers,NAPPA MILANO,,,,KAB. TANGERANG,4.9,16,48,"Gale Soccer draws inspiration from the silhouette of classic football footwear, bringing the spirit of the game into everyday life. Designed with flat soles and chosen materials for comfort outside the field, this pair offers soft textures that feel great from the very first step. Gale Soccer pairs well with any outfit, making it a must-have for anyone who craves a distinctive and stylish addition to their daily attire.
Materials:
- Upper: Nubuck leather & Lamb skin leather# ganti output/images → data/images
- Lining: Lamb skin leather
- Outsole: Lightweight Rubber
- Construction: Cementing",https://down-id.img.susercontent.com/file/sg-11134201-82274-mhpvvefca6mb3a,data/images/253449367_57402386866/img_0.jpg
253449367_48960962222,Luther Penny Green - Nappa Milano - Sepatu Kulit Pria,https://shopee.co.id/Luther-Penny-Green-Nappa-Milano-Sepatu-Kulit-Pria-i.253449367.48960962222,769000.0,0,"{""39"": 0, ""40"": 0, ""41"": 15, ""42"": 0, ""43"": 15, ""44"": 15, ""45"": 15, ""46"": 0}","41, 43, 44, 45",Sepatu Pria > Sepatu Formal > Loafer,NAPPA MILANO,Indonesia,,Kulit,KAB. TANGERANG,5.0,4,27,"Meet the Luther Penny, an easy, polished loafer made for everyday wear. Crafted from soft Nappa leather and lined with smooth garment leather, it feels as good as it looks. The lightweight rubber sole keeps you comfortable on the move. Luther effortlessly enhances your overall look, combining prestige with timeless appeal—the perfect choice for days when you want to look sharp without trying too hard.
Discover Luther’s three new colorways, Green, Brown Suede, and Black-White, colors that offer a slightly bolder expression but remain timeless and elegant.
Materials:
- Upper: Nappa leather
- Lining: Garment
- Outsole: Lightweight Rubber
- Construction: Cementing",https://down-id.img.susercontent.com/file/sg-11134201-823ot-moj63c0uot8r56_tn,data/images/253449367_48960962222/img_0.jpg
253449367_22684806600,Moss Derby Zebra - Nappa Milano - Sepatu Unisex,https://shopee.co.id/Moss-Derby-Zebra-Nappa-Milano-Sepatu-Unisex-i.253449367.22684806600,709000.0,0,"{""36"": 8, ""37"": 8, ""38"": 0, ""39"": 8, ""40"": 0, ""41"": 0, ""42"": 8, ""43"": 8, ""44"": 8, ""45"": 8}","36, 37, 39, 42, 43, 44, 45",Sepatu Pria > Sepatu Pria Lainnya,NAPPA MILANO,,,,KAB. TANGERANG,5.0,6,11,"For packaging protection, please add bubble wrap to your order (will add 1 kg to your total order weight)
https://shopee.co.id/product/253449367/22320248351/
We created a new shape through Moss Derby to offer a less formal derby shoe with a roomy round-toes design, making it fit for most foot types. Moss Derby is unisex and has eight color options with various leather materials, offering endless possibilities and inconceivably vast options for your everyday look. They’re, in fact, classic, timeless and that versatile.
Upper: Nappa Leather & Animal Printed Leather
Insole: Phylon Injection Insole
Outsole: Lightweight Rubber
Construction: Cemented",https://down-id.img.susercontent.com/file/sg-11134201-7rbks-lqkbj7kr5nr8be,data/images/253449367_22684806600/img_0.jpg
253449367_28463430345,Damian Tassel Brown - Nappa Milano - Sepatu Pantofel Pria,https://shopee.co.id/Damian-Tassel-Brown-Nappa-Milano-Sepatu-Pantofel-Pria-i.253449367.28463430345,869000.0,0,"{""39"": 0, ""40"": 0, ""41"": 0, ""42"": 30, ""43"": 30, ""44"": 30, ""45"": 30, ""46"": 0}","42, 43, 44, 45",Sepatu Pria > Sepatu Formal > Loafer,NAPPA MILANO,,,Kulit,KAB. TANGERANG,5.0,48,147,"For packaging protection, please add bubble wrap to your order (will add 1 kg to your total order weight)
https://shopee.co.id/product/253449367/22320248351/
The Damian Tassel presents a sleek silhouette designed for the modern gentleman, offering a timeless and elegant appearance. Available in color black and brown.
Features:
Tassel Accent: An easy slip-on pair completed with tassel accents that add a touch of refinement.
Comfort Fit: Crafted with a cushioned insole and an outsole made of fiber rubber, these shoes provide all-day comfort.
Premium Materials: These shoes are crafted with high-quality materials that boast durability and a refined finish.
Formal & Versatile: Its formal, classic and timeless design complements suits, dress pants, and more.
Materials:
- Upper: Nappa Leather
- Lining: Garment
- Outsole: Lightweight Rubber
- Construction: Cementing",https://down-id.img.susercontent.com/file/id-11134207-7rbkd-m8zzkq2mha1933,data/images/253449367_28463430345/img_0.jpg
253449367_44223223951,Lacy Ballet Flats Red - Nappa Milano - Sepatu Flat Kulit Wanita,https://shopee.co.id/Lacy-Ballet-Flats-Red-Nappa-Milano-Sepatu-Flat-Kulit-Wanita-i.253449367.44223223951,849000.0,0,"{""36"": 0, ""37"": 13, ""38"": 13, ""39"": 13, ""40"": 0, ""41"": 0}","37, 38, 39",Sepatu Wanita > Sepatu Flat > Rounded Toe Flats,NAPPA MILANO,Indonesia,,,KAB. TANGERANG,4.9,26,98,"A soft and feminine take on the classic ballet flat. Designed with an elastic strap for a touch of charm and a secure fit, the Lacy Ballet Flats add effortless elegance to your everyday looks — from casual strolls to dressier moments. Available in: White, Black, Red, and Silver.
Materials:
- Upper: Lamb Skin
- Lining: Textile
- Outsole: Lightweight Rubber
- Construction: Cementing",https://down-id.img.susercontent.com/file/sg-11134201-824hv-mfl4t55srkehd4_tn,data/images/253449367_44223223951/img_0.jpg
253449367_19960266807,Mocc Penny Brown - Nappa Milano - Sepatu Pria,https://shopee.co.id/Mocc-Penny-Brown-Nappa-Milano-Sepatu-Pria-i.253449367.19960266807,839000.0,0,"{""39"": 0, ""40"": 0, ""41"": 10, ""42"": 0, ""43"": 10, ""44"": 0, ""45"": 10}","41, 43, 45",Sepatu Pria > Sepatu Formal > Loafer,NAPPA MILANO,Indonesia,,Kulit,KAB. TANGERANG,4.9,45,130,"CEK SIZE CHART DI FOTO SLIDE TERAKHIR / PANDUAN UKURAN
Get classic style from Mocc Penny Brown, a squared moc-toe penny loafer exclusively made from hand-painted Vegetable Leather that brings timeless sophistication to a classic loafer. With its style and complete comfort, this classic leather penny loafer will become a staple in your collection.
Upper: Hand-painted Vegetable Leather
Outsole: Eva Rubber
Lining: Soft Garment",https://down-id.img.susercontent.com/file/id-11134207-7ra0s-mczx5nyedpwkd8_tn,data/images/253449367_19960266807/img_0.jpg
253449367_27524984578,Mocc Tassel Black - Nappa Milano - Sepatu Formal Pria,https://shopee.co.id/Mocc-Tassel-Black-Nappa-Milano-Sepatu-Formal-Pria-i.253449367.27524984578,779000.0,0,"{""39"": 0, ""40"": 0, ""41"": 0, ""42"": 0, ""43"": 1, ""44"": 0, ""45"": 0}",43,Sepatu Pria > Slip-On & Mules,NAPPA MILANO,,,,KAB. TANGERANG,5.0,21,64,"CEK SIZE CHART DI FOTO SLIDE TERAKHIR / PANDUAN UKURAN
Add a touch of charm to your wardrobe with these classic brown tassel loafers. Crafted from hand-painted vegetable leather, they showcase intricate stitching and elegant tassel detailing for a refined look. The outsole ensures lightweight durability, and the soft garment leather lining provides exceptional comfort, making them perfect for day-to-day wear or special occasions.
Upper: Hand-painted Vegetable-Tanned Leather
Outsole: Lightweight EVA Rubber
Lining: Soft Garment Leather",https://down-id.img.susercontent.com/file/sg-11134201-7rbkz-m5shjvk27f7k17_tn,data/images/253449367_27524984578/img_0.jpg
253449367_28607784437,Nappa Mink Oil - Pelindung Sepatu Kulit Premium,https://shopee.co.id/Nappa-Mink-Oil-Pelindung-Sepatu-Kulit-Premium-i.253449367.28607784437,759000.0,0,{},,Sepatu Pria > Aksesoris & Perawatan Sepatu > Alat Perawatan & Pembersih Sepatu,-,Indonesia,,Mink Oil,KAB. TANGERANG,5.0,414,1RB+,"Keep your leather shoes moisturized with Mink Oil. This premium mink oil conditions and preserves leather, maintaining its softness and durability. Easy to apply, it refreshes your footwear's look and extends its life.
How to Use:
1. Apply with the applicator provided,
2. let absorb, and
3. buff lightly with a cloth.",https://down-id.img.susercontent.com/file/sg-11134201-7rdwp-lyw3sbb200x62e,data/images/253449367_28607784437/img_0.jpg
